x,y,date,driver_number,led_num
0,0,2023-08-27T12:08:04.174Z,1,41
0,0,2023-08-27T12:08:04.174Z,2,41
0,0,2023-08-27T12:08:04.174Z,4,41
0,0,2023-08-27T12:08:04.174Z,10,41
0,0,2023-08-27T12:08:04.174Z,11,41
0,0,2023-08-27T12:08:04.174Z,14,41
0,0,2023-08-27T12:08:04.174Z,16,41
0,0,2023-08-27T12:08:04.174Z,18,41
0,0,2023-08-27T12:08:04.174Z,20,41
0,0,2023-08-27T12:08:04.174Z,22,41
0,0,2023-08-27T12:08:04.174Z,23,41
0,0,2023-08-27T12:08:04.174Z,24,41
0,0,2023-08-27T12:08:04.174Z,27,41
0,0,2023-08-27T12:08:04.174Z,31,41
0,0,2023-08-27T12:08:04.174Z,40,41
0,0,2023-08-27T12:08:04.174Z,44,41
0,0,2023-08-27T12:08:04.174Z,55,41
0,0,2023-08-27T12:08:04.174Z,63,41
0,0,2023-08-27T12:08:04.174Z,77,41
0,0,2023-08-27T12:08:04.174Z,81,41
0,0,2023-08-27T12:08:04.414Z,1,41
0,0,2023-08-27T12:08:04.414Z,2,41
0,0,2023-08-27T12:08:04.414Z,4,41
0,0,2023-08-27T12:08:04.414Z,10,41
0,0,2023-08-27T12:08:04.414Z,11,41
0,0,2023-08-27T12:08:04.414Z,14,41
0,0,2023-08-27T12:08:04.414Z,16,41
0,0,2023-08-27T12:08:04.414Z,18,41
0,0,2023-08-27T12:08:04.414Z,20,41
0,0,2023-08-27T12:08:04.414Z,22,41
0,0,2023-08-27T12:08:04.414Z,23,41
0,0,2023-08-27T12:08:04.414Z,24,41
0,0,2023-08-27T12:08:04.414Z,27,41
0,0,2023-08-27T12:08:04.414Z,31,41
0,0,2023-08-27T12:08:04.414Z,40,41
0,0,2023-08-27T12:08:04.414Z,44,41
0,0,2023-08-27T12:08:04.414Z,55,41
0,0,2023-08-27T12:08:04.414Z,63,41
0,0,2023-08-27T12:08:04.414Z,77,41
0,0,2023-08-27T12:08:04.414Z,81,41
0,0,2023-08-27T12:08:04.714Z,1,41
0,0,2023-08-27T12:08:04.714Z,2,41
0,0,2023-08-27T12:08:04.714Z,4,41
0,0,2023-08-27T12:08:04.714Z,10,41
0,0,2023-08-27T12:08:04.714Z,11,41
0,0,2023-08-27T12:08:04.714Z,14,41
0,0,2023-08-27T12:08:04.714Z,16,41
0,0,2023-08-27T12:08:04.714Z,18,41
0,0,2023-08-27T12:08:04.714Z,20,41
0,0,2023-08-27T12:08:04.714Z,22,41
0,0,2023-08-27T12:08:04.714Z,23,41
0,0,2023-08-27T12:08:04.714Z,24,41
0,0,2023-08-27T12:08:04.714Z,27,41
0,0,2023-08-27T12:08:04.714Z,31,41
0,0,2023-08-27T12:08:04.714Z,40,41
0,0,2023-08-27T12:08:04.714Z,44,41
0,0,2023-08-27T12:08:04.714Z,55,41
0,0,2023-08-27T12:08:04.714Z,63,41
0,0,2023-08-27T12:08:04.714Z,77,41
0,0,2023-08-27T12:08:04.714Z,81,41
0,0,2023-08-27T12:08:04.974Z,1,41
0,0,2023-08-27T12:08:04.974Z,2,41
0,0,2023-08-27T12:08:04.974Z,4,41
0,0,2023-08-27T12:08:04.974Z,10,41
0,0,2023-08-27T12:08:04.974Z,11,41
0,0,2023-08-27T12:08:04.974Z,14,41
0,0,2023-08-27T12:08:04.974Z,16,41
0,0,2023-08-27T12:08:04.974Z,18,41
0,0,2023-08-27T12:08:04.974Z,20,41
0,0,2023-08-27T12:08:04.974Z,22,41
0,0,2023-08-27T12:08:04.974Z,23,41
0,0,2023-08-27T12:08:04.974Z,24,41
0,0,2023-08-27T12:08:04.974Z,27,41
0,0,2023-08-27T12:08:04.974Z,31,41
0,0,2023-08-27T12:08:04.974Z,40,41
0,0,2023-08-27T12:08:04.974Z,44,41
0,0,2023-08-27T12:08:04.974Z,55,41
0,0,2023-08-27T12:08:04.974Z,63,41
0,0,2023-08-27T12:08:04.974Z,77,41
0,0,2023-08-27T12:08:04.974Z,81,41
0,0,2023-08-27T12:08:05.174Z,1,41
0,0,2023-08-27T12:08:05.174Z,2,41
0,0,2023-08-27T12:08:05.174Z,4,41
0,0,2023-08-27T12:08:05.174Z,10,41
0,0,2023-08-27T12:08:05.174Z,11,41
0,0,2023-08-27T12:08:05.174Z,14,41
0,0,2023-08-27T12:08:05.174Z,16,41
0,0,2023-08-27T12:08:05.174Z,18,41
0,0,2023-08-27T12:08:05.174Z,20,41
0,0,2023-08-27T12:08:05.174Z,22,41
0,0,2023-08-27T12:08:05.174Z,23,41
0,0,2023-08-27T12:08:05.174Z,24,41
0,0,2023-08-27T12:08:05.174Z,27,41
0,0,2023-08-27T12:08:05.174Z,31,41
0,0,2023-08-27T12:08:05.174Z,40,41
0,0,2023-08-27T12:08:05.174Z,44,41
0,0,2023-08-27T12:08:05.174Z,55,41
0,0,2023-08-27T12:08:05.174Z,63,41
0,0,2023-08-27T12:08:05.174Z,77,41
0,0,2023-08-27T12:08:05.174Z,81,41
0,0,2023-08-27T12:08:05.394Z,1,41
0,0,2023-08-27T12:08:05.394Z,2,41
0,0,2023-08-27T12:08:05.394Z,4,41
0,0,2023-08-27T12:08:05.394Z,10,41
0,0,2023-08-27T12:08:05.394Z,11,41
0,0,2023-08-27T12:08:05.394Z,14,41
0,0,2023-08-27T12:08:05.394Z,16,41
0,0,2023-08-27T12:08:05.394Z,18,41
0,0,2023-08-27T12:08:05.394Z,22,41
0,0,2023-08-27T12:08:05.394Z,23,41
0,0,2023-08-27T12:08:05.394Z,24,41
0,0,2023-08-27T12:08:05.394Z,27,41
0,0,2023-08-27T12:08:05.394Z,31,41
0,0,2023-08-27T12:08:05.394Z,40,41
0,0,2023-08-27T12:08:05.394Z,44,41
0,0,2023-08-27T12:08:05.394Z,55,41
0,0,2023-08-27T12:08:05.394Z,63,41
0,0,2023-08-27T12:08:05.394Z,77,41
0,0,2023-08-27T12:08:05.394Z,81,41
0,0,2023-08-27T12:08:05.754Z,1,41
0,0,2023-08-27T12:08:05.754Z,2,41
0,0,2023-08-27T12:08:05.754Z,4,41
0,0,2023-08-27T12:08:05.754Z,10,41
0,0,2023-08-27T12:08:05.754Z,11,41
0,0,2023-08-27T12:08:05.754Z,14,41
0,0,2023-08-27T12:08:05.754Z,16,41
0,0,2023-08-27T12:08:05.754Z,18,41
0,0,2023-08-27T12:08:05.754Z,20,41
0,0,2023-08-27T12:08:05.754Z,22,41
0,0,2023-08-27T12:08:05.754Z,23,41
0,0,2023-08-27T12:08:05.754Z,24,41
0,0,2023-08-27T12:08:05.754Z,27,41
0,0,2023-08-27T12:08:05.754Z,31,41
0,0,2023-08-27T12:08:05.754Z,40,41
0,0,2023-08-27T12:08:05.754Z,44,41
0,0,2023-08-27T12:08:05.754Z,55,41
0,0,2023-08-27T12:08:05.754Z,63,41
0,0,2023-08-27T12:08:05.754Z,77,41
0,0,2023-08-27T12:08:05.754Z,81,41
0,0,2023-08-27T12:08:05.994Z,1,41
0,0,2023-08-27T12:08:05.994Z,2,41
0,0,2023-08-27T12:08:05.994Z,4,41
0,0,2023-08-27T12:08:05.994Z,10,41
0,0,2023-08-27T12:08:05.994Z,11,41
0,0,2023-08-27T12:08:05.994Z,14,41
0,0,2023-08-27T12:08:05.994Z,16,41
0,0,2023-08-27T12:08:05.994Z,18,41
0,0,2023-08-27T12:08:05.994Z,20,41
0,0,2023-08-27T12:08:05.994Z,22,41
0,0,2023-08-27T12:08:05.994Z,23,41
0,0,2023-08-27T12:08:05.994Z,24,41
0,0,2023-08-27T12:08:05.994Z,27,41
0,0,2023-08-27T12:08:05.994Z,31,41
0,0,2023-08-27T12:08:05.994Z,40,41
0,0,2023-08-27T12:08:05.994Z,44,41
0,0,2023-08-27T12:08:05.994Z,55,41
0,0,2023-08-27T12:08:05.994Z,63,41
0,0,2023-08-27T12:08:05.994Z,77,41
0,0,2023-08-27T12:08:05.994Z,81,41
0,0,2023-08-27T12:08:06.194Z,1,41
0,0,2023-08-27T12:08:06.194Z,2,41
0,0,2023-08-27T12:08:06.194Z,4,41
0,0,2023-08-27T12:08:06.194Z,10,41
0,0,2023-08-27T12:08:06.194Z,11,41
0,0,2023-08-27T12:08:06.194Z,14,41
0,0,2023-08-27T12:08:06.194Z,16,41
0,0,2023-08-27T12:08:06.194Z,18,41
0,0,2023-08-27T12:08:06.194Z,20,41
0,0,2023-08-27T12:08:06.194Z,22,41
0,0,2023-08-27T12:08:06.194Z,23,41
0,0,2023-08-27T12:08:06.194Z,24,41
0,0,2023-08-27T12:08:06.194Z,27,41
0,0,2023-08-27T12:08:06.194Z,31,41
0,0,2023-08-27T12:08:06.194Z,40,41
0,0,2023-08-27T12:08:06.194Z,44,41
0,0,2023-08-27T12:08:06.194Z,55,41
0,0,2023-08-27T12:08:06.194Z,63,41
0,0,2023-08-27T12:08:06.194Z,77,41
0,0,2023-08-27T12:08:06.194Z,81,41
0,0,2023-08-27T12:08:06.454Z,1,41
0,0,2023-08-27T12:08:06.454Z,2,41
0,0,2023-08-27T12:08:06.454Z,4,41
0,0,2023-08-27T12:08:06.454Z,10,41
0,0,2023-08-27T12:08:06.454Z,11,41
0,0,2023-08-27T12:08:06.454Z,14,41
0,0,2023-08-27T12:08:06.454Z,16,41
0,0,2023-08-27T12:08:06.454Z,18,41
0,0,2023-08-27T12:08:06.454Z,20,41
0,0,2023-08-27T12:08:06.454Z,22,41
0,0,2023-08-27T12:08:06.454Z,23,41
0,0,2023-08-27T12:08:06.454Z,24,41
0,0,2023-08-27T12:08:06.454Z,27,41
0,0,2023-08-27T12:08:06.454Z,31,41
0,0,2023-08-27T12:08:06.454Z,40,41
0,0,2023-08-27T12:08:06.454Z,44,41
0,0,2023-08-27T12:08:06.454Z,55,41
0,0,2023-08-27T12:08:06.454Z,63,41
0,0,2023-08-27T12:08:06.454Z,77,41
0,0,2023-08-27T12:08:06.454Z,81,41
0,0,2023-08-27T12:08:06.674Z,1,41
0,0,2023-08-27T12:08:06.674Z,2,41
0,0,2023-08-27T12:08:06.674Z,4,41
0,0,2023-08-27T12:08:06.674Z,10,41
0,0,2023-08-27T12:08:06.674Z,11,41
0,0,2023-08-27T12:08:06.674Z,14,41
0,0,2023-08-27T12:08:06.674Z,16,41
0,0,2023-08-27T12:08:06.674Z,18,41
0,0,2023-08-27T12:08:06.674Z,20,41
0,0,2023-08-27T12:08:06.674Z,22,41
0,0,2023-08-27T12:08:06.674Z,23,41
0,0,2023-08-27T12:08:06.674Z,24,41
0,0,2023-08-27T12:08:06.674Z,27,41
0,0,2023-08-27T12:08:06.674Z,31,41
0,0,2023-08-27T12:08:06.674Z,40,41
0,0,2023-08-27T12:08:06.674Z,44,41
0,0,2023-08-27T12:08:06.674Z,55,41
0,0,2023-08-27T12:08:06.674Z,63,41
0,0,2023-08-27T12:08:06.674Z,77,41
0,0,2023-08-27T12:08:06.674Z,81,41
0,0,2023-08-27T12:08:07.094Z,1,41
0,0,2023-08-27T12:08:07.094Z,2,41
0,0,2023-08-27T12:08:07.094Z,4,41
0,0,2023-08-27T12:08:07.094Z,10,41
0,0,2023-08-27T12:08:07.094Z,11,41
0,0,2023-08-27T12:08:07.094Z,14,41
0,0,2023-08-27T12:08:07.094Z,16,41
0,0,2023-08-27T12:08:07.094Z,18,41
0,0,2023-08-27T12:08:07.094Z,20,41
0,0,2023-08-27T12:08:07.094Z,22,41
0,0,2023-08-27T12:08:07.094Z,23,41
0,0,2023-08-27T12:08:07.094Z,24,41
0,0,2023-08-27T12:08:07.094Z,27,41
0,0,2023-08-27T12:08:07.094Z,31,41
0,0,2023-08-27T12:08:07.094Z,40,41
0,0,2023-08-27T12:08:07.094Z,44,41
0,0,2023-08-27T12:08:07.094Z,55,41
0,0,2023-08-27T12:08:07.094Z,63,41
0,0,2023-08-27T12:08:07.094Z,77,41
0,0,2023-08-27T12:08:07.094Z,81,41
0,0,2023-08-27T12:08:07.414Z,1,41
0,0,2023-08-27T12:08:07.414Z,2,41
0,0,2023-08-27T12:08:07.414Z,4,41
0,0,2023-08-27T12:08:07.414Z,10,41
0,0,2023-08-27T12:08:07.414Z,11,41
0,0,2023-08-27T12:08:07.414Z,14,41
0,0,2023-08-27T12:08:07.414Z,16,41
0,0,2023-08-27T12:08:07.414Z,18,41
0,0,2023-08-27T12:08:07.414Z,20,41
0,0,2023-08-27T12:08:07.414Z,22,41
0,0,2023-08-27T12:08:07.414Z,23,41
0,0,2023-08-27T12:08:07.414Z,24,41
0,0,2023-08-27T12:08:07.414Z,27,41
0,0,2023-08-27T12:08:07.414Z,31,41
0,0,2023-08-27T12:08:07.414Z,40,41
0,0,2023-08-27T12:08:07.414Z,44,41
0,0,2023-08-27T12:08:07.414Z,55,41
0,0,2023-08-27T12:08:07.414Z,63,41
0,0,2023-08-27T12:08:07.414Z,77,41
0,0,2023-08-27T12:08:07.414Z,81,41
0,0,2023-08-27T12:08:07.914Z,1,41
0,0,2023-08-27T12:08:07.914Z,2,41
0,0,2023-08-27T12:08:07.914Z,4,41
0,0,2023-08-27T12:08:07.914Z,10,41
0,0,2023-08-27T12:08:07.914Z,11,41
0,0,2023-08-27T12:08:07.914Z,14,41
0,0,2023-08-27T12:08:07.914Z,16,41
0,0,2023-08-27T12:08:07.914Z,18,41
0,0,2023-08-27T12:08:07.914Z,20,41
0,0,2023-08-27T12:08:07.914Z,22,41
0,0,2023-08-27T12:08:07.914Z,23,41
0,0,2023-08-27T12:08:07.914Z,24,41
0,0,2023-08-27T12:08:07.914Z,27,41
0,0,2023-08-27T12:08:07.914Z,31,41
0,0,2023-08-27T12:08:07.914Z,40,41
0,0,2023-08-27T12:08:07.914Z,44,41
0,0,2023-08-27T12:08:07.914Z,55,41
0,0,2023-08-27T12:08:07.914Z,63,41
0,0,2023-08-27T12:08:07.914Z,77,41
0,0,2023-08-27T12:08:07.914Z,81,41
0,0,2023-08-27T12:08:08.234Z,1,41
0,0,2023-08-27T12:08:08.234Z,2,41
0,0,2023-08-27T12:08:08.234Z,4,41
0,0,2023-08-27T12:08:08.234Z,10,41
0,0,2023-08-27T12:08:08.234Z,11,41
0,0,2023-08-27T12:08:08.234Z,14,41
0,0,2023-08-27T12:08:08.234Z,16,41
0,0,2023-08-27T12:08:08.234Z,18,41
0,0,2023-08-27T12:08:08.234Z,20,41
0,0,2023-08-27T12:08:08.234Z,22,41
0,0,2023-08-27T12:08:08.234Z,23,41
0,0,2023-08-27T12:08:08.234Z,24,41
0,0,2023-08-27T12:08:08.234Z,27,41
0,0,2023-08-27T12:08:08.234Z,31,41
0,0,2023-08-27T12:08:08.234Z,40,41
0,0,2023-08-27T12:08:08.234Z,44,41
0,0,2023-08-27T12:08:08.234Z,55,41
0,0,2023-08-27T12:08:08.234Z,63,41
0,0,2023-08-27T12:08:08.234Z,77,41
0,0,2023-08-27T12:08:08.234Z,81,41
0,0,2023-08-27T12:08:08.374Z,1,41
0,0,2023-08-27T12:08:08.374Z,2,41
0,0,2023-08-27T12:08:08.374Z,4,41
0,0,2023-08-27T12:08:08.374Z,10,41
0,0,2023-08-27T12:08:08.374Z,11,41
0,0,2023-08-27T12:08:08.374Z,14,41
0,0,2023-08-27T12:08:08.374Z,16,41
0,0,2023-08-27T12:08:08.374Z,18,41
0,0,2023-08-27T12:08:08.374Z,20,41
0,0,2023-08-27T12:08:08.374Z,22,41
0,0,2023-08-27T12:08:08.374Z,23,41
0,0,2023-08-27T12:08:08.374Z,24,41
0,0,2023-08-27T12:08:08.374Z,27,41
0,0,2023-08-27T12:08:08.374Z,31,41
0,0,2023-08-27T12:08:08.374Z,40,41
0,0,2023-08-27T12:08:08.374Z,44,41
0,0,2023-08-27T12:08:08.374Z,55,41
0,0,2023-08-27T12:08:08.374Z,63,41
0,0,2023-08-27T12:08:08.374Z,77,41
0,0,2023-08-27T12:08:08.374Z,81,41
0,0,2023-08-27T12:08:08.594Z,1,41
0,0,2023-08-27T12:08:08.594Z,2,41
0,0,2023-08-27T12:08:08.594Z,4,41
0,0,2023-08-27T12:08:08.594Z,10,41
0,0,2023-08-27T12:08:08.594Z,11,41
0,0,2023-08-27T12:08:08.594Z,14,41
0,0,2023-08-27T12:08:08.594Z,16,41
0,0,2023-08-27T12:08:08.594Z,18,41
0,0,2023-08-27T12:08:08.594Z,20,41
0,0,2023-08-27T12:08:08.594Z,22,41
0,0,2023-08-27T12:08:08.594Z,23,41
0,0,2023-08-27T12:08:08.594Z,24,41
0,0,2023-08-27T12:08:08.594Z,27,41
0,0,2023-08-27T12:08:08.594Z,31,41
0,0,2023-08-27T12:08:08.594Z,40,41
0,0,2023-08-27T12:08:08.594Z,44,41
0,0,2023-08-27T12:08:08.594Z,55,41
0,0,2023-08-27T12:08:08.594Z,63,41
0,0,2023-08-27T12:08:08.594Z,77,41
0,0,2023-08-27T12:08:08.594Z,81,41
0,0,2023-08-27T12:08:08.834Z,1,41
0,0,2023-08-27T12:08:08.834Z,2,41
0,0,2023-08-27T12:08:08.834Z,4,41
0,0,2023-08-27T12:08:08.834Z,10,41
0,0,2023-08-27T12:08:08.834Z,11,41
0,0,2023-08-27T12:08:08.834Z,14,41
0,0,2023-08-27T12:08:08.834Z,16,41
0,0,2023-08-27T12:08:08.834Z,18,41
0,0,2023-08-27T12:08:08.834Z,20,41
0,0,2023-08-27T12:08:08.834Z,22,41
0,0,2023-08-27T12:08:08.834Z,23,41
0,0,2023-08-27T12:08:08.834Z,24,41
0,0,2023-08-27T12:08:08.834Z,27,41
0,0,2023-08-27T12:08:08.834Z,31,41
0,0,2023-08-27T12:08:08.834Z,40,41
0,0,2023-08-27T12:08:08.834Z,44,41
0,0,2023-08-27T12:08:08.834Z,55,41
0,0,2023-08-27T12:08:08.834Z,63,41
0,0,2023-08-27T12:08:08.834Z,77,41
0,0,2023-08-27T12:08:08.834Z,81,41
0,0,2023-08-27T12:08:09.134Z,1,41
0,0,2023-08-27T12:08:09.134Z,2,41
0,0,2023-08-27T12:08:09.134Z,4,41
0,0,2023-08-27T12:08:09.134Z,10,41
0,0,2023-08-27T12:08:09.134Z,11,41
0,0,2023-08-27T12:08:09.134Z,14,41
0,0,2023-08-27T12:08:09.134Z,16,41
0,0,2023-08-27T12:08:09.134Z,18,41
0,0,2023-08-27T12:08:09.134Z,20,41
0,0,2023-08-27T12:08:09.134Z,22,41
0,0,2023-08-27T12:08:09.134Z,23,41
0,0,2023-08-27T12:08:09.134Z,24,41
0,0,2023-08-27T12:08:09.134Z,27,41
0,0,2023-08-27T12:08:09.134Z,31,41
0,0,2023-08-27T12:08:09.134Z,40,41
0,0,2023-08-27T12:08:09.134Z,44,41
0,0,2023-08-27T12:08:09.134Z,55,41
0,0,2023-08-27T12:08:09.134Z,63,41
0,0,2023-08-27T12:08:09.134Z,77,41
0,0,2023-08-27T12:08:09.134Z,81,41
0,0,2023-08-27T12:08:09.554Z,1,41
0,0,2023-08-27T12:08:09.554Z,2,41
0,0,2023-08-27T12:08:09.554Z,4,41
0,0,2023-08-27T12:08:09.554Z,10,41
0,0,2023-08-27T12:08:09.554Z,11,41
0,0,2023-08-27T12:08:09.554Z,14,41
0,0,2023-08-27T12:08:09.554Z,16,41
0,0,2023-08-27T12:08:09.554Z,18,41
0,0,2023-08-27T12:08:09.554Z,20,41
0,0,2023-08-27T12:08:09.554Z,22,41
0,0,2023-08-27T12:08:09.554Z,23,41
0,0,2023-08-27T12:08:09.554Z,24,41
0,0,2023-08-27T12:08:09.554Z,27,41
0,0,2023-08-27T12:08:09.554Z,31,41
0,0,2023-08-27T12:08:09.554Z,40,41
0,0,2023-08-27T12:08:09.554Z,44,41
0,0,2023-08-27T12:08:09.554Z,55,41
0,0,2023-08-27T12:08:09.554Z,63,41
0,0,2023-08-27T12:08:09.554Z,77,41
0,0,2023-08-27T12:08:09.554Z,81,41
0,0,2023-08-27T12:08:09.894Z,1,41
0,0,2023-08-27T12:08:09.894Z,2,41
0,0,2023-08-27T12:08:09.894Z,4,41
0,0,2023-08-27T12:08:09.894Z,10,41
0,0,2023-08-27T12:08:09.894Z,11,41
0,0,2023-08-27T12:08:09.894Z,14,41
0,0,2023-08-27T12:08:09.894Z,16,41
0,0,2023-08-27T12:08:09.894Z,18,41
0,0,2023-08-27T12:08:09.894Z,20,41
0,0,2023-08-27T12:08:09.894Z,22,41
0,0,2023-08-27T12:08:09.894Z,23,41
0,0,2023-08-27T12:08:09.894Z,24,41
0,0,2023-08-27T12:08:09.894Z,27,41
0,0,2023-08-27T12:08:09.894Z,31,41
0,0,2023-08-27T12:08:09.894Z,40,41
0,0,2023-08-27T12:08:09.894Z,44,41
0,0,2023-08-27T12:08:09.894Z,55,41
0,0,2023-08-27T12:08:09.894Z,63,41
0,0,2023-08-27T12:08:09.894Z,77,41
0,0,2023-08-27T12:08:09.894Z,81,41
0,0,2023-08-27T12:08:10.174Z,1,41
0,0,2023-08-27T12:08:10.174Z,2,41
