x,y,date,driver_number,led_num
1254,1634,2023-08-27T12:13:00.174Z,1,25
1460,-76,2023-08-27T12:13:00.174Z,2,29
299,2859,2023-08-27T12:13:00.174Z,4,47
-976,-48,2023-08-27T12:13:00.174Z,10,40
409,3197,2023-08-27T12:13:00.174Z,11,48
6134,2636,2023-08-27T12:13:00.174Z,14,13
1522,3544,2023-08-27T12:13:00.174Z,16,65
7183,2456,2023-08-27T12:13:00.174Z,18,11
1195,5280,2023-08-27T12:13:00.174Z,20,53
7394,1781,2023-08-27T12:13:00.174Z,22,9
635,3809,2023-08-27T12:13:00.174Z,23,50
7996,3556,2023-08-27T12:13:00.174Z,24,85
-1007,-467,2023-08-27T12:13:00.174Z,27,39
7159,82,2023-08-27T12:13:00.174Z,31,95
3960,2243,2023-08-27T12:13:00.174Z,40,18
814,4281,2023-08-27T12:13:00.174Z,44,51
3526,2972,2023-08-27T12:13:00.174Z,55,75
785,4204,2023-08-27T12:13:00.174Z,63,51
1777,6565,2023-08-27T12:13:00.174Z,77,57
2098,5771,2023-08-27T12:13:00.174Z,81,60
1215,1536,2023-08-27T12:13:00.594Z,1,25
1502,-318,2023-08-27T12:13:00.594Z,2,30
303,2875,2023-08-27T12:13:00.594Z,4,47
-877,220,2023-08-27T12:13:00.594Z,10,41
421,3231,2023-08-27T12:13:00.594Z,11,48
5901,2641,2023-08-27T12:13:00.594Z,14,14
1363,3463,2023-08-27T12:13:00.594Z,16,66
7056,2507,2023-08-27T12:13:00.594Z,18,11
1223,5341,2023-08-27T12:13:00.594Z,20,53
7447,1906,2023-08-27T12:13:00.594Z,22,9
649,3845,2023-08-27T12:13:00.594Z,23,50
8222,3459,2023-08-27T12:13:00.594Z,24,86
-1003,-186,2023-08-27T12:13:00.594Z,27,40
6942,66,2023-08-27T12:13:00.594Z,31,96
3716,2152,2023-08-27T12:13:00.594Z,40,19
814,4282,2023-08-27T12:13:00.594Z,44,51
3808,2918,2023-08-27T12:13:00.594Z,55,75
798,4240,2023-08-27T12:13:00.594Z,63,51
1862,6599,2023-08-27T12:13:00.594Z,77,57
2043,5586,2023-08-27T12:13:00.594Z,81,60
1206,1451,2023-08-27T12:13:01.014Z,1,26
1534,-503,2023-08-27T12:13:01.014Z,2,30
306,2885,2023-08-27T12:13:01.014Z,4,47
-771,475,2023-08-27T12:13:01.014Z,10,42
431,3257,2023-08-27T12:13:01.014Z,11,48
5721,2635,2023-08-27T12:13:01.014Z,14,14
1233,3419,2023-08-27T12:13:01.014Z,16,66
6949,2533,2023-08-27T12:13:01.014Z,18,11
1243,5386,2023-08-27T12:13:01.014Z,20,54
7458,2004,2023-08-27T12:13:01.014Z,22,10
659,3873,2023-08-27T12:13:01.014Z,23,50
8369,3353,2023-08-27T12:13:01.014Z,24,86
-956,22,2023-08-27T12:13:01.014Z,27,41
6778,71,2023-08-27T12:13:01.014Z,31,96
3508,2086,2023-08-27T12:13:01.014Z,40,19
814,4282,2023-08-27T12:13:01.014Z,44,51
4011,2882,2023-08-27T12:13:01.014Z,55,76
807,4261,2023-08-27T12:13:01.014Z,63,51
1927,6607,2023-08-27T12:13:01.014Z,77,57
2012,5362,2023-08-27T12:13:01.014Z,81,61
1213,1358,2023-08-27T12:13:01.194Z,1,26
1565,-681,2023-08-27T12:13:01.194Z,2,31
355,3053,2023-08-27T12:13:01.194Z,4,48
-693,679,2023-08-27T12:13:01.194Z,10,42
440,3282,2023-08-27T12:13:01.194Z,11,48
5535,2622,2023-08-27T12:13:01.194Z,14,14
1100,3372,2023-08-27T12:13:01.194Z,16,66
6831,2553,2023-08-27T12:13:01.194Z,18,11
1269,5443,2023-08-27T12:13:01.194Z,20,54
7449,2098,2023-08-27T12:13:01.194Z,22,10
670,3900,2023-08-27T12:13:01.194Z,23,50
8490,3225,2023-08-27T12:13:01.194Z,24,87
-877,221,2023-08-27T12:13:01.194Z,27,41
6610,89,2023-08-27T12:13:01.194Z,31,1
3303,2024,2023-08-27T12:13:01.194Z,40,20
814,4282,2023-08-27T12:13:01.194Z,44,51
4222,2857,2023-08-27T12:13:01.194Z,55,76
817,4288,2023-08-27T12:13:01.194Z,63,51
1993,6601,2023-08-27T12:13:01.194Z,77,57
1948,5223,2023-08-27T12:13:01.194Z,81,61
1225,1273,2023-08-27T12:13:01.574Z,1,26
1587,-817,2023-08-27T12:13:01.574Z,2,31
358,3061,2023-08-27T12:13:01.574Z,4,48
-625,854,2023-08-27T12:13:01.574Z,10,43
504,3454,2023-08-27T12:13:01.574Z,11,49
5370,2606,2023-08-27T12:13:01.574Z,14,15
991,3324,2023-08-27T12:13:01.574Z,16,67
6721,2570,2023-08-27T12:13:01.574Z,18,12
1297,5503,2023-08-27T12:13:01.574Z,20,54
7429,2172,2023-08-27T12:13:01.574Z,22,10
679,3924,2023-08-27T12:13:01.574Z,23,50
8575,3100,2023-08-27T12:13:01.574Z,24,87
-782,447,2023-08-27T12:13:01.574Z,27,42
6463,115,2023-08-27T12:13:01.574Z,31,1
3127,1966,2023-08-27T12:13:01.574Z,40,20
814,4282,2023-08-27T12:13:01.574Z,44,51
4414,2852,2023-08-27T12:13:01.574Z,55,77
826,4311,2023-08-27T12:13:01.574Z,63,51
2051,6585,2023-08-27T12:13:01.574Z,77,57
1893,5099,2023-08-27T12:13:01.574Z,81,61
1236,1211,2023-08-27T12:13:01.754Z,1,26
1593,-868,2023-08-27T12:13:01.754Z,2,31
360,3067,2023-08-27T12:13:01.754Z,4,48
-579,972,2023-08-27T12:13:01.754Z,10,43
508,3470,2023-08-27T12:13:01.754Z,11,49
5254,2591,2023-08-27T12:13:01.754Z,14,15
884,3266,2023-08-27T12:13:01.754Z,16,67
6639,2582,2023-08-27T12:13:01.754Z,18,12
1308,5530,2023-08-27T12:13:01.754Z,20,54
7406,2225,2023-08-27T12:13:01.754Z,22,10
685,3941,2023-08-27T12:13:01.754Z,23,50
8622,3007,2023-08-27T12:13:01.754Z,24,87
-736,566,2023-08-27T12:13:01.754Z,27,42
6361,140,2023-08-27T12:13:01.754Z,31,1
3006,1924,2023-08-27T12:13:01.754Z,40,20
814,4282,2023-08-27T12:13:01.754Z,44,51
4547,2862,2023-08-27T12:13:01.754Z,55,77
832,4328,2023-08-27T12:13:01.754Z,63,51
2088,6568,2023-08-27T12:13:01.754Z,77,57
1857,5008,2023-08-27T12:13:01.754Z,81,62
1249,1131,2023-08-27T12:13:01.974Z,1,26
1602,-970,2023-08-27T12:13:01.974Z,2,31
362,3074,2023-08-27T12:13:01.974Z,4,48
-524,1114,2023-08-27T12:13:01.974Z,10,43
514,3489,2023-08-27T12:13:01.974Z,11,49
5112,2568,2023-08-27T12:13:01.974Z,14,15
785,3233,2023-08-27T12:13:01.974Z,16,67
6535,2596,2023-08-27T12:13:01.974Z,18,12
1321,5565,2023-08-27T12:13:01.974Z,20,54
7374,2282,2023-08-27T12:13:01.974Z,22,10
693,3961,2023-08-27T12:13:01.974Z,23,50
8666,2886,2023-08-27T12:13:01.974Z,24,87
-683,705,2023-08-27T12:13:01.974Z,27,42
6236,177,2023-08-27T12:13:01.974Z,31,1
2866,1870,2023-08-27T12:13:01.974Z,40,21
814,4282,2023-08-27T12:13:01.974Z,44,51
4710,2890,2023-08-27T12:13:01.974Z,55,77
839,4347,2023-08-27T12:13:01.974Z,63,51
2131,6538,2023-08-27T12:13:01.974Z,77,58
1818,4892,2023-08-27T12:13:01.974Z,81,62
1275,979,2023-08-27T12:13:02.234Z,1,27
1593,-1138,2023-08-27T12:13:02.234Z,2,32
367,3087,2023-08-27T12:13:02.234Z,4,48
-431,1352,2023-08-27T12:13:02.234Z,10,44
526,3521,2023-08-27T12:13:02.234Z,11,49
4864,2518,2023-08-27T12:13:02.234Z,14,16
689,3121,2023-08-27T12:13:02.234Z,16,67
6346,2618,2023-08-27T12:13:02.234Z,18,13
1343,5624,2023-08-27T12:13:02.234Z,20,54
7295,2376,2023-08-27T12:13:02.234Z,22,10
706,3997,2023-08-27T12:13:02.234Z,23,50
8702,2664,2023-08-27T12:13:02.234Z,24,88
-596,928,2023-08-27T12:13:02.234Z,27,43
6025,263,2023-08-27T12:13:02.234Z,31,2
2660,1785,2023-08-27T12:13:02.234Z,40,21
814,4282,2023-08-27T12:13:02.234Z,44,51
4985,2979,2023-08-27T12:13:02.234Z,55,78
852,4382,2023-08-27T12:13:02.234Z,63,51
2193,6472,2023-08-27T12:13:02.234Z,77,58
1776,4679,2023-08-27T12:13:02.234Z,81,62
1295,864,2023-08-27T12:13:02.614Z,1,27
1563,-1247,2023-08-27T12:13:02.614Z,2,32
371,3098,2023-08-27T12:13:02.614Z,4,48
-370,1512,2023-08-27T12:13:02.614Z,10,44
534,3542,2023-08-27T12:13:02.614Z,11,49
4692,2476,2023-08-27T12:13:02.614Z,14,16
655,3029,2023-08-27T12:13:02.614Z,16,67
6209,2630,2023-08-27T12:13:02.614Z,18,13
1359,5664,2023-08-27T12:13:02.614Z,20,54
7227,2430,2023-08-27T12:13:02.614Z,22,11
715,4021,2023-08-27T12:13:02.614Z,23,50
8699,2505,2023-08-27T12:13:02.614Z,24,88
-541,1071,2023-08-27T12:13:02.614Z,27,43
5893,336,2023-08-27T12:13:02.614Z,31,2
2532,1727,2023-08-27T12:13:02.614Z,40,22
814,4282,2023-08-27T12:13:02.614Z,44,51
5165,3066,2023-08-27T12:13:02.614Z,55,79
861,4405,2023-08-27T12:13:02.614Z,63,51
2224,6417,2023-08-27T12:13:02.614Z,77,58
1770,4523,2023-08-27T12:13:02.614Z,81,63
1308,791,2023-08-27T12:13:02.774Z,1,27
1535,-1310,2023-08-27T12:13:02.774Z,2,32
374,3105,2023-08-27T12:13:02.774Z,4,48
-333,1608,2023-08-27T12:13:02.774Z,10,44
539,3556,2023-08-27T12:13:02.774Z,11,49
4585,2448,2023-08-27T12:13:02.774Z,14,17
646,2970,2023-08-27T12:13:02.774Z,16,68
6122,2636,2023-08-27T12:13:02.774Z,18,13
1369,5691,2023-08-27T12:13:02.774Z,20,54
